S/N,StudentID,FirstName,LastName,Gender,Department,Birth date
9,COM / 1009,Adam,Smith,Female,Computer Science,27/01/2002
9,ECO / 1009,Jasmine,Brown,Male,Economics,20/09/1996
9,ENG / 1009,Tim,Schultz,Male,English,15/09/2002
9,HIS / 1009,Mary,Young,Male,History,11/05/1998
9,MAT / 1009,Tricia,Morales,Female,Mathematics,04/01/1999
9,PHY / 1009,Margaret,Jensen,Male,Physics,17/06/2002
9,POL / 1009,Joseph,Ferguson,Male,Political Science,17/12/2000
9,PSY / 1009,Lynn,Wallace,Female,Psychology,24/01/1998
10,BIO / 1010,Justin,Davis,Male,Biology,06/02/1997
10,CHE / 1010,Benjamin,Johnson,Male,Chemistry,03/06/1999
10,COM / 1010,Courtney,Lynch,Female,Computer Science,03/08/2000
10,ECO / 1010,Paul,Adams,Male,Economics,02/08/1997
10,ENG / 1010,Julie,Smith,Male,English,18/12/2000
10,HIS / 1010,Matthew,Foster,Female,History,30/01/2002
10,MAT / 1010,Veronica,Vargas,Male,Mathematics,25/12/1996
10,PHY / 1010,Christopher,Craig,Female,Physics,10/07/1998
10,POL / 1010,Albert,Bell,Female,Political Science,24/06/1999
10,PSY / 1010,Angela,Porter,Male,Psychology,23/02/2000
11,BIO / 1011,Samantha,Ryan,Female,Biology,23/12/2001
11,CHE / 1011,Willie,Wade,Male,Chemistry,08/11/1996
11,COM / 1011,Kimberly,Nolan,Male,Computer Science,01/01/2001
11,ECO / 1011,Maria,Gutierrez,Female,Economics,06/12/2002
11,ENG / 1011,Tammy,Dunn,Female,English,29/08/1999
11,HIS / 1011,Kenneth,Pollard,Female,History,16/10/2002
11,MAT / 1011,Victoria,Meza,Male,Mathematics,21/10/2001
11,PHY / 1011,Glenn,Kline,Female,Physics,09/03/2002
11,POL / 1011,Steven,Gonzalez,Male,Political Science,12/01/1997
11,PSY / 1011,Matthew,Price,Male,Psychology,23/06/1997
12,BIO / 1012,John,Brandt,Female,Biology,24/07/1998
12,CHE / 1012,Lindsay,Cline,Male,Chemistry,11/07/2001
12,COM / 1012,Rachel,Carter,Male,Computer Science,09/02/1999
12,ECO / 1012,Hannah,Simmons,Female,Economics,01/04/1998
12,ENG / 1012,Bobby,Good,Female,English,05/05/1998
12,HIS / 1012,Derrick,Sanders,Female,History,30/12/1997
12,MAT / 1012,Felicia,Robertson,Male,Mathematics,07/08/1999
12,PHY / 1012,Amber,Harvey,Female,Physics,11/12/1997
12,POL / 1012,Evan,Galvan,Male,Political Science,08/07/2000
12,PSY / 1012,Jim,Mcdonald,Male,Psychology,15/01/2000
13,BIO / 1013,Lori,Hill,Male,Biology,01/08/1997
13,CHE / 1013,Danielle,Rowe,Female,Chemistry,18/08/1997
13,COM / 1013,Debra,Gill,Male,Computer Science,20/09/2002
13,ECO / 1013,Donald,Mahoney,Male,Economics,04/10/2001
13,ENG / 1013,William,Shelton,Male,English,08/04/2002
13,HIS / 1013,Dawn,Fischer,Male,History,28/07/2002
13,MAT / 1013,David,Lawson,Female,Mathematics,25/04/2000
13,PHY / 1013,Carmen,Fischer,Female,Physics,24/01/1998
13,POL / 1013,Sherri,Watts,Female,Political Science,23/01/1996
13,PSY / 1013,Jason,Ortiz,Female,Psychology,17/01/2000
14,BIO / 1014,Sergio,Hernandez,Female,Biology,29/04/1999
14,CHE / 1014,Anthony,Espinoza,Female,Chemistry,13/06/1997
14,COM / 1014,Anna,Mcdonald,Male,Computer Science,28/12/1999
14,ECO / 1014,Stephanie,Humphrey,Male,Economics,16/11/1999
14,ENG / 1014,Brian,Bush,Male,English,30/08/1996
14,HIS / 1014,Joshua,Conrad,Male,History,19/07/1997
14,MAT / 1014,Jennifer,Thompson,Female,Mathematics,24/02/1996
14,PHY / 1014,Denise,Zhang,Female,Physics,17/01/1998
14,POL / 1014,Joshua,Carter,Male,Political Science,11/04/1996
14,PSY / 1014,Tanya,Riley,Female,Psychology,07/05/2001
15,BIO / 1015,Molly,Thomas,Male,Biology,03/03/1996
15,CHE / 1015,Roy,Roberts,Male,Chemistry,23/10/1999
15,COM / 1015,Karla,Kim,Male,Computer Science,11/11/1996
15,ECO / 1015,Mitchell,Miller,Male,Economics,23/10/2001
15,ENG / 1015,Anna,Atkinson,Female,English,09/12/1996
15,HIS / 1015,Bradley,Weaver,Male,History,29/10/2001
15,MAT / 1015,Pamela,Warner,Male,Mathematics,15/03/1997
15,PHY / 1015,Mark,Ross,Male,Physics,08/09/1999
15,POL / 1015,David,Bradley,Female,Political Science,06/06/1996
15,PSY / 1015,Teresa,Jimenez,Female,Psychology,03/07/2000
16,BIO / 1016,Tiffany,Valenzuela,Female,Biology,26/02/1998
16,CHE / 1016,Victor,Campbell,Male,Chemistry,20/11/1997
16,COM / 1016,Robert,Ramirez,Male,Computer Science,19/04/2001
16,ECO / 1016,Christopher,Frederick,Male,Economics,05/03/1999
16,ENG / 1016,Bryan,Melendez,Female,English,11/02/2002
16,HIS / 1016,Ryan,Keith,Male,History,15/11/1999
16,MAT / 1016,Derrick,Logan,Male,Mathematics,03/03/2000
16,PHY / 1016,Daniel,Potts,Female,Physics,09/09/1999
16,POL / 1016,Abigail,Smith,Female,Political Science,01/11/2000
16,PSY / 1016,Gregory,Graham,Female,Psychology,23/06/1999
17,BIO / 1017,Lindsey,Gill,Male,Biology,08/02/1996
17,CHE / 1017,Kelly,Hansen,Female,Chemistry,15/07/1998
17,COM / 1017,David,Weber,Male,Computer Science,29/08/1997
17,ECO / 1017,Diane,Nelson,Male,Economics,22/02/1999
17,ENG / 1017,Rebecca,Smith,Female,English,07/07/1996
17,HIS / 1017,Tamara,Wilson,Male,History,27/08/2001
17,MAT / 1017,Jason,Olson,Male,Mathematics,28/09/1997
17,PHY / 1017,Daniel,Russell,Male,Physics,02/08/2000
17,POL / 1017,Rachel,Valenzuela,Female,Political Science,23/10/2001
17,PSY / 1017,Ashley,Taylor,Male,Psychology,02/12/1999
18,BIO / 1018,George,Sparks,Male,Biology,20/11/2002
18,CHE / 1018,Jonathan,Chavez,Male,Chemistry,08/02/2002
18,COM / 1018,Jennifer,Jordan,Male,Computer Science,07/06/1999
18,ECO / 1018,Kathleen,Myers,Male,Economics,16/11/2002
18,ENG / 1018,Megan,Craig,Male,English,27/03/2001
18,HIS / 1018,Michael,Snow,Male,History,20/01/1998
18,MAT / 1018,Gary,Guzman,Male,Mathematics,19/01/2001
18,PHY / 1018,Haley,Howell,Male,Physics,02/01/1997
18,POL / 1018,James,Cox,Female,Political Science,13/08/1998
18,PSY / 1018,Michael,Cline,Female,Psychology,11/10/2001
19,BIO / 1019,Amanda,Knapp,Female,Biology,29/12/1999
19,CHE / 1019,Nathaniel,Williams,Female,Chemistry,26/11/2001
19,COM / 1019,Jennifer,Davis,Female,Computer Science,27/05/1998
19,ECO / 1019,James,Marsh,Male,Economics,07/04/2000
19,ENG / 1019,John,Reyes,Female,English,24/08/1997
19,HIS / 1019,Ernest,Fitzpatrick,Female,History,05/02/2001
19,MAT / 1019,Megan,Young,Male,Mathematics,06/01/1998
19,PHY / 1019,Elizabeth,Brady,Female,Physics,15/01/1997
19,POL / 1019,Nicolas,Stewart,Male,Political Science,26/06/1999
19,PSY / 1019,Meghan,Smith,Female,Psychology,03/09/1998
20,BIO / 1020,Edward,Dawson,Female,Biology,08/09/1997
20,CHE / 1020,Ashley,Herring,Female,Chemistry,04/02/2002
20,COM / 1020,Tammy,Wright,Male,Computer Science,18/02/1997
20,ECO / 1020,Jacob,Brown,Female,Economics,15/12/1998
20,ENG / 1020,Alexandra,Ramos,Male,English,12/02/1999
20,HIS / 1020,Kayla,Mcclain,Female,History,08/02/1997
20,MAT / 1020,Sherry,Harper,Female,Mathematics,11/02/2002
20,PHY / 1020,Shane,Chambers,Male,Physics,11/04/2002
20,POL / 1020,Crystal,Lee,Female,Political Science,20/01/1998
20,PSY / 1020,Cynthia,Campbell,Female,Psychology,06/11/1996
21,BIO / 1021,Krista,Coleman,Male,Biology,04/07/2000
21,CHE / 1021,Joseph,Martin,Female,Chemistry,23/05/1998
21,COM / 1021,Joshua,Jimenez,Female,Computer Science,05/02/1996
21,ECO / 1021,Timothy,Ramos,Female,Economics,20/07/1998
21,ENG / 1021,Renee,Massey,Male,English,26/11/1996
21,HIS / 1021,Ronald,Gentry,Female,History,13/10/1997
21,MAT / 1021,David,Roach,Male,Mathematics,07/04/2001
21,PHY / 1021,Blake,Mendoza,Female,Physics,13/01/2001
21,POL / 1021,John,Woods,Male,Political Science,15/06/1998
21,PSY / 1021,Megan,Owens,Male,Psychology,03/10/1996
22,BIO / 1022,Anna,Chavez,Female,Biology,27/05/1997
22,CHE / 1022,Susan,Cook,Male,Chemistry,07/01/1997
22,COM / 1022,Morgan,Johnson,Male,Computer Science,17/10/1997
22,ECO / 1022,Jacob,Williams,Female,Economics,01/03/1998
22,ENG / 1022,Kristen,Thompson,Female,English,08/07/2000
22,HIS / 1022,Cynthia,Winters,Male,History,09/04/1997
22,MAT / 1022,Jeremy,Saunders,Female,Mathematics,08/06/2000
22,PHY / 1022,Kelsey,Reed,Female,Physics,21/07/1999
22,POL / 1022,Melanie,Morris,Female,Political Science,28/02/1996
22,PSY / 1022,Michael,George,Male,Psychology,11/08/2002
23,BIO / 1023,Michael,Vasquez,Male,Biology,03/05/2002
23,CHE / 1023,Ryan,Moore,Female,Chemistry,15/10/2002
23,COM / 1023,Matthew,Jones,Female,Computer Science,27/10/2002
23,ECO / 1023,George,Johnson,Female,Economics,11/03/1999
23,ENG / 1023,Garrett,Salas,Female,English,27/04/2000
23,HIS / 1023,Jeremiah,Padilla,Male,History,13/01/1999
23,MAT / 1023,Peggy,Espinoza,Female,Mathematics,17/05/1996
23,PHY / 1023,William,Bowers,Female,Physics,23/06/1997
23,POL / 1023,Jennifer,Hancock,Male,Political Science,28/06/1999
23,PSY / 1023,Kevin,Mays,Female,Psychology,21/11/1997
24,BIO / 1024,Randall,Pugh,Female,Biology,18/11/1997
24,CHE / 1024,Joseph,Rice,Male,Chemistry,24/11/2001
24,COM / 1024,Alexis,Rivera,Female,Computer Science,10/01/1999
24,ECO / 1024,Kristen,Brock,Male,Economics,17/01/2002
24,ENG / 1024,Riley,Welch,Female,English,20/11/1996
24,HIS / 1024,Kristen,Watson,Female,History,30/04/1999
24,MAT / 1024,Thomas,Harrison,Male,Mathematics,28/09/1999
24,PHY / 1024,Andrew,Wood,Female,Physics,02/04/1998
24,POL / 1024,Judy,Rosales,Male,Political Science,05/07/2000
24,PSY / 1024,Daniel,Lopez,Male,Psychology,07/12/2001
25,BIO / 1025,Ryan,Estrada,Male,Biology,07/10/1998
25,CHE / 1025,Megan,Bailey,Male,Chemistry,06/10/2001
25,COM / 1025,Kenneth,Roberts,Female,Computer Science,14/06/2001
25,ECO / 1025,Kristine,York,Male,Economics,11/02/1996
25,ENG / 1025,Mary,Vasquez,Male,English,08/11/1998
25,HIS / 1025,Michael,Beasley,Male,History,03/09/2001
25,MAT / 1025,Manuel,Price,Female,Mathematics,20/02/2002
25,PHY / 1025,John,Smith,Female,Physics,28/05/2000
25,POL / 1025,Tyler,Rice,Male,Political Science,02/01/2002
25,PSY / 1025,David,Oconnor,Male,Psychology,28/05/1996
26,BIO / 1026,David,Hunter,Female,Biology,14/12/1997
26,CHE / 1026,Heather,Mitchell,Male,Chemistry,13/08/1996
26,COM / 1026,Matthew,Lucas,Female,Computer Science,07/01/2000
26,ECO / 1026,Alan,Perez,Female,Economics,26/07/1996
26,ENG / 1026,Robert,Calderon,Male,English,23/05/2000
26,HIS / 1026,Karen,Robinson,Male,History,02/07/2002
26,MAT / 1026,Sergio,Lyons,Female,Mathematics,02/03/1997
26,PHY / 1026,Alejandro,Williams,Female,Physics,26/10/1996
26,POL / 1026,Jeffrey,Davis,Female,Political Science,30/03/1999
26,PSY / 1026,Michael,Greene,Female,Psychology,09/11/1996
27,BIO / 1027,Sandra,Carter,Female,Biology,18/02/1998
27,CHE / 1027,Tina,Clark,Male,Chemistry,25/12/2000
27,COM / 1027,Christine,Taylor,Female,Computer Science,22/01/1998
27,ECO / 1027,Devin,Christensen,Female,Economics,14/07/1999
27,ENG / 1027,Jessica,James,Male,English,23/06/2002
27,HIS / 1027,Gregory,Ramsey,Female,History,09/05/2000
27,MAT / 1027,George,Johns,Female,Mathematics,03/03/1997
27,PHY / 1027,Carolyn,Vasquez,Female,Physics,16/01/2000
27,POL / 1027,Jeffrey,Cohen,Male,Political Science,25/11/2001
27,PSY / 1027,Caroline,Ray,Male,Psychology,18/03/2000
28,BIO / 1028,Heather,Jenkins,Female,Biology,21/11/2001
28,CHE / 1028,Brianna,Weaver,Female,Chemistry,22/09/1999
28,COM / 1028,Danny,Haynes,Female,Computer Science,18/06/2001
28,ECO / 1028,David,Martinez,Male,Economics,09/05/1999
28,ENG / 1028,Stephanie,Thomas,Male,English,17/04/1999
28,HIS / 1028,Joshua,Hunt,Male,History,16/03/1998
28,MAT / 1028,Brenda,Peterson,Male,Mathematics,10/07/1997
28,PHY / 1028,Thomas,Barker,Male,Physics,27/12/2001
28,POL / 1028,Charles,Cruz,Female,Political Science,09/10/2000
28,PSY / 1028,Mark,Powers,Female,Psychology,20/04/1997
29,BIO / 1029,Emily,Mitchell,Female,Biology,04/07/1998
29,CHE / 1029,Mike,Martin,Male,Chemistry,09/12/1998
29,COM / 1029,Gavin,Olson,Male,Computer Science,30/09/2002
29,ECO / 1029,Melinda,Smith,Female,Economics,04/05/1996
29,ENG / 1029,Kristin,Rivers,Female,English,11/11/1998
29,HIS / 1029,Paul,Jackson,Female,History,08/12/2001
29,MAT / 1029,Steven,Brown,Female,Mathematics,26/11/2002
29,PHY / 1029,Christina,Alvarado,Female,Physics,17/06/1997
29,POL / 1029,Kristina,Davies,Female,Political Science,17/01/1996
29,PSY / 1029,Alex,Montgomery,Male,Psychology,13/06/2001
30,BIO / 1030,Laura,Mcdonald,Male,Biology,05/05/1997
30,CHE / 1030,Christopher,King,Male,Chemistry,24/11/2000
30,COM / 1030,Cassandra,Watts,Male,Computer Science,08/05/1998
30,ECO / 1030,Daniel,Frederick,Female,Economics,25/12/1998
30,ENG / 1030,Krystal,Stevens,Male,English,16/08/1997
30,HIS / 1030,Debbie,Larson,Male,History,26/09/1998
30,MAT / 1030,Emma,Miller,Female,Mathematics,19/12/1997
30,PHY / 1030,Diane,Davis,Male,Physics,30/06/2000
30,POL / 1030,Catherine,Thomas,Male,Political Science,06/02/1998
30,PSY / 1030,Brian,Lucero,Female,Psychology,28/08/1999
31,BIO / 1031,Sarah,Ferguson,Female,Biology,26/02/1996
31,CHE / 1031,David,Cummings,Male,Chemistry,02/11/1996
31,COM / 1031,Charles,Mills,Female,Computer Science,19/10/1998
31,ECO / 1031,Carlos,Goodman,Male,Economics,11/02/2001
31,ENG / 1031,Heather,Mcpherson,Male,English,24/04/1999
31,HIS / 1031,Pamela,Parker,Male,History,08/07/2002
31,MAT / 1031,Erin,Jones,Female,Mathematics,27/10/1997
31,PHY / 1031,Michael,Lawrence,Male,Physics,17/12/1996
31,POL / 1031,Brianna,Acevedo,Male,Political Science,23/06/2000
31,PSY / 1031,Rita,Rodriguez,Male,Psychology,11/06/1999
32,BIO / 1032,Amanda,Jordan,Male,Biology,22/04/2002
32,CHE / 1032,Susan,Mcclure,Male,Chemistry,16/01/2001
32,COM / 1032,Karen,Hernandez,Female,Computer Science,14/03/1999
32,ECO / 1032,Bethany,Arnold,Female,Economics,16/07/1998
32,ENG / 1032,David,Cantrell,Female,English,01/10/1999
32,HIS / 1032,Tami,Reid,Female,History,19/06/1999
32,MAT / 1032,Robert,Moore,Female,Mathematics,15/08/2001
32,PHY / 1032,Andrea,Cox,Female,Physics,02/12/1996
32,POL / 1032,Timothy,Campbell,Male,Political Science,22/10/1998
32,PSY / 1032,Joe,Clark,Male,Psychology,03/10/1998
33,BIO / 1033,Julie,Bullock,Female,Biology,24/08/2002
33,CHE / 1033,Laura,Anderson,Male,Chemistry,20/03/2000
33,COM / 1033,Kevin,Diaz,Male,Computer Science,01/02/1996
33,ECO / 1033,Miguel,Martinez,Male,Economics,01/12/2000
33,ENG / 1033,Brian,Moore,Female,English,17/10/2001
33,HIS / 1033,Lori,Sanchez,Male,History,12/08/2000
33,MAT / 1033,Robert,Lee,Female,Mathematics,20/04/2001
33,PHY / 1033,Rebecca,Powell,Male,Physics,09/12/1999
33,POL / 1033,Jeffrey,Wells,Female,Political Science,20/03/1997
33,PSY / 1033,Michael,Bray,Male,Psychology,12/06/2000
34,BIO / 1034,Isaac,Gardner,Female,Biology,23/06/1999
34,CHE / 1034,Robert,Snow,Male,Chemistry,23/12/1996
34,COM / 1034,Michelle,Nichols,Female,Computer Science,28/07/2001
34,ECO / 1034,Aaron,Wright,Male,Economics,13/11/1997
34,ENG / 1034,John,King,Female,English,13/12/2000
34,HIS / 1034,David,Bennett,Female,History,04/04/1996
34,MAT / 1034,Alisha,Ortiz,Male,Mathematics,02/05/1998
34,PHY / 1034,Melanie,Lee,Female,Physics,17/06/1998
34,POL / 1034,Lisa,Gutierrez,Male,Political Science,11/11/2000
34,PSY / 1034,Taylor,Hill,Female,Psychology,03/05/1996
35,BIO / 1035,Kari,Raymond,Male,Biology,24/06/2001
35,CHE / 1035,Megan,Perry,Male,Chemistry,20/06/2000
35,COM / 1035,Denise,Gallegos,Female,Computer Science,15/12/2000
35,ECO / 1035,Mark,Chambers,Female,Economics,09/08/2000
35,ENG / 1035,John,Jones,Female,English,21/11/2000
35,HIS / 1035,Joseph,Harris,Female,History,17/05/1999
35,MAT / 1035,Edward,Green,Male,Mathematics,17/09/2002
35,PHY / 1035,John,Morgan,Male,Physics,23/08/1996
35,POL / 1035,Randall,Cole,Male,Political Science,02/06/2000
35,PSY / 1035,Paige,Snow,Male,Psychology,01/07/2002
36,BIO / 1036,Breanna,Bennett,Female,Biology,23/01/2000
36,CHE / 1036,Anthony,Griffin,Female,Chemistry,30/12/2002
36,COM / 1036,Michael,Sanchez,Female,Computer Science,15/01/1999
36,ECO / 1036,Deborah,Davis,Male,Economics,23/04/1998
36,ENG / 1036,Amy,Webb,Male,English,30/07/1998
36,HIS / 1036,David,Jones,Male,History,11/03/2000
36,MAT / 1036,Amanda,West,Male,Mathematics,26/03/2002
36,PHY / 1036,Jeffrey,Merritt,Male,Physics,23/12/1999
36,POL / 1036,Tina,Hansen,Female,Political Science,04/12/2001
36,PSY / 1036,Joseph,Shah,Female,Psychology,19/04/2001
37,BIO / 1037,Samantha,Bennett,Female,Biology,14/10/1999
37,CHE / 1037,Emily,Hampton,Female,Chemistry,10/05/1996
37,COM / 1037,John,James,Male,Computer Science,09/01/2002
37,ECO / 1037,Benjamin,Moore,Male,Economics,16/09/1998
37,ENG / 1037,Richard,Hoover,Male,English,02/10/2000
37,HIS / 1037,Shelley,Adams,Male,History,20/08/2001
37,MAT / 1037,Rebecca,Johnson,Female,Mathematics,20/02/1998
37,PHY / 1037,Brandon,Bryant,Female,Physics,21/06/2001
37,POL / 1037,Lisa,Kirk,Female,Political Science,04/12/2000
37,PSY / 1037,Jonathan,Watkins,Male,Psychology,26/01/1999
38,BIO / 1038,John,Torres,Male,Biology,24/05/2002
38,CHE / 1038,Johnny,Gibson,Male,Chemistry,05/11/1999
38,COM / 1038,Matthew,Ingram,Female,Computer Science,12/02/2002
38,ECO / 1038,Jeremy,Todd,Female,Economics,24/05/1997
38,ENG / 1038,Douglas,Martinez,Male,English,13/02/1999
38,HIS / 1038,Mark,Smith,Male,History,25/06/1998
38,MAT / 1038,Katherine,Rasmussen,Female,Mathematics,03/06/1999
38,PHY / 1038,Suzanne,Johnston,Female,Physics,11/04/2002
38,POL / 1038,Katie,Hensley,Female,Political Science,02/09/1998
38,PSY / 1038,Anita,Hicks,Female,Psychology,14/08/2002
39,BIO / 1039,Jesse,Estrada,Female,Biology,08/11/1999
39,CHE / 1039,Kevin,Burton,Female,Chemistry,22/01/2000
39,COM / 1039,Dana,Smith,Female,Computer Science,22/01/1996
39,ECO / 1039,Christopher,Mcdowell,Female,Economics,05/01/1999
39,ENG / 1039,Frank,Rosales,Female,English,12/09/1997
39,HIS / 1039,Steven,Peck,Male,History,05/07/2002
39,MAT / 1039,Jaime,Lynn,Male,Mathematics,12/09/1998
39,PHY / 1039,Jeremiah,Mooney,Male,Physics,15/08/1996
39,POL / 1039,Edward,Romero,Male,Political Science,16/12/1996
39,PSY / 1039,Andrew,Haynes,Female,Psychology,02/04/1996
40,BIO / 1040,David,Campbell,Female,Biology,29/05/1999
40,CHE / 1040,Matthew,Green,Female,Chemistry,04/10/1999
40,COM / 1040,Penny,Carroll,Male,Computer Science,23/09/1998
40,ECO / 1040,Danielle,Francis,Male,Economics,16/04/1996
40,ENG / 1040,Michael,Bennett,Female,English,16/11/1997
40,HIS / 1040,Tracy,Taylor,Female,History,27/01/1996
40,MAT / 1040,Christopher,Garcia,Male,Mathematics,03/03/1996
40,PHY / 1040,Michelle,Davis,Male,Physics,15/12/1998
40,POL / 1040,Tony,Jones,Male,Political Science,20/04/1997
40,PSY / 1040,Janet,Garner,Male,Psychology,24/03/1999
41,BIO / 1041,John,Taylor,Female,Biology,18/08/2002
41,CHE / 1041,Jeremy,Bird,Female,Chemistry,02/09/1999
41,COM / 1041,Debra,Wagner,Female,Computer Science,09/02/1999
41,ECO / 1041,James,Andersen,Female,Economics,05/08/1997
41,ENG / 1041,Brian,Turner,Female,English,09/06/2000
41,HIS / 1041,Benjamin,Villegas,Female,History,23/06/2001
41,MAT / 1041,Tammy,Larson,Male,Mathematics,26/10/1998
41,PHY / 1041,Cory,Fernandez,Male,Physics,11/11/2002
41,POL / 1041,Lauren,Hernandez,Female,Political Science,29/11/1997
41,PSY / 1041,Susan,Pugh,Female,Psychology,08/07/1999
42,BIO / 1042,Tiffany,Jones,Female,Biology,26/10/1997
42,CHE / 1042,Brian,Reed,Male,Chemistry,14/12/1996
42,COM / 1042,Patricia,Warren,Female,Computer Science,16/09/1999
42,ECO / 1042,Jeffrey,Guerrero,Female,Economics,23/03/1996
42,ENG / 1042,David,Torres,Male,English,03/03/1997
42,HIS / 1042,Willie,Maldonado,Female,History,06/10/1997
